ID,OBEC,POPIS
629,534102,28576
630,533343,59367
631,564109,59367
632,558940,33017
633,535907,59367
634,529818,25728
635,568759,58301
636,550477,59367
637,555291,73561
638,552453,59367
639,578100,59367
640,535931,29428
641,579319,54376
642,537225,59367
643,564940,33214
644,557838,33214
645,552470,39118
646,579327,54442
647,534994,59367
648,537217,59367
649,566241,43922
650,546429,59367
651,571539,59367
652,564117,46331
653,578126,59367
654,553751,59367
655,540358,59367
656,563145,59367
657,550264,38404
658,569305,59367
659,588512,76811
660,534706,59367
661,571547,53863
662,572764,59367
663,568767,59367
664,581534,59367
665,571164,59367
666,533670,59367
667,558966,59367
668,537233,59367
669,564249,59367
670,544591,59367
671,539295,59367
672,532037,59367
673,541818,59367
674,533351,59367
675,551155,59367
676,532398,59367
677,577154,59367
678,507334,74724
679,556378,59367
680,556386,59367
681,568023,59367
682,570125,59367
683,546810,59367
684,571849,59367
685,583111,59367
686,594164,59367
687,575071,53312
688,579335,54211
689,574112,59367
690,593095,59367
691,588547,59367
692,537420,59367
693,594172,59367
694,569909,59367
695,506737,76872
696,545546,38208
697,534846,59367
698,575089,59367
699,557846,33205
700,549223,59367
701,531294,26707
702,555207,36453
703,549452,39853
704,561321,59367
705,532886,59367
706,513431,59367
707,552496,39155
708,539309,25303
709,561339,59367
710,575097,59367
711,573574,59367
712,562530,40744
713,558974,59367
714,590428,59367
715,588016,59367
716,560324,59367
717,593851,67101
718,512982,59367
719,546054,59367
720,579980,56132
721,554162,59367
722,532690,59367
723,579459,59367
724,593869,59367
725,570991,59367
726,564672,59367
727,571253,59367
728,561479,47154
729,532185,59367
730,550272,59367
731,533998,59367
732,599476,59367
733,569135,59367
734,542571,43902
735,534731,27704
736,540099,59367
737,595454,59241
738,530425,67554
739,590517,67554
740,537918,36263
741,570818,36263
742,586129,69635
743,593907,59367
744,580074,56123
745,568228,74717
746,552445,59367
747,560332,59367
748,535249,59367
749,539163,25206
750,546127,38001
751,595462,59367
752,574899,59367
753,582948,66475
754,561924,59367
755,572357,59367
756,563552,59367
757,556041,59367
758,546143,59367
759,585157,59367
760,590533,67533
761,566128,59367
762,581518,59367
763,546151,59367
764,576247,51791
765,569941,59367
766,529621,25726
767,584401,69171
768,564737,59367
769,556068,59367
770,533688,59367
771,537098,59367
772,548031,59367
773,587010,58834
774,563650,59367
775,513504,59367
776,581526,59367
777,535656,59367
778,577987,78386
779,501476,78386
780,551708,59367
781,548014,56117
782,568538,59367
783,556076,59367
784,595471,59367
785,530468,59367
786,560839,59367
787,557668,33443
788,593923,59367
789,549363,59367
790,562408,59367
791,552542,59367
792,585165,59367
793,545783,40741
794,589438,59367
795,562416,59367
796,589446,79825
797,546861,59367
798,552224,59367
799,587028,58812
800,569895,59367
801,587036,59367
802,535672,29441
803,529559,59367
804,539171,59367
805,592986,59367
806,565008,59367
807,576271,51801
808,598089,73951
809,561932,59367
810,595489,59367
811,572837,50773
812,561762,59367
813,535206,37316
814,576263,51793
